Film,Director,tmdbrating,overview,genre
El habitante,Guillermo Amoedo,5.921,"Three sisters enter the house of a senator with the intention of stealing money obtained from bribes, but once inside, they begin to hear strange cries coming from the basement.",Horror
Siempre andamos caminado,Dinazar Urbina Mata,,,
La compañía que guardas,Diego Gutiérrez,0.0,"After the death of his father, a middle aged filmmaker returns to his hometown to visit the friends he grew up with.",Documentary
Una mujer sin filtro,Luis Eduardo Reyes,7.832,"Paz, a kind woman, has allowed everyone around her to treat her as if she were worth nothing, keeping silent so as not to hurt feelings. Until one day, in her head, a phenomenon forces her to express what she feels.",Comedy
El sembrador,Melissa Elizondo Moreno,7.3,"Bartolomé, a teacher in a multigrade school on the mountains of Chiapas in Mexico, knows well that pedagogy is not based on textbooks and cannot fit behind the four walls of a classroom. A true sower of knowledge unravels his philosophy and method and becomes a beacon of hope for the creation of a humanistic model of education based on curiosity and love for the outside world.",Documentary
Mapa de sueños latinoamericanos,Martín Weber,5.0,"Map of Latin American Dreams explores the desires and hopes of individuals throughout Latin America. The project consists of many trips, beginning in 1992 and continuing through 2013, to Argentina, Cuba, Mexico, Peru, Nicaragua, Guatemala, Brazil, and Colombia.",Documentary
Pacífico Norte,Valentina Sachetti,5.0,"Sofía makes a home-made video of her holidays travelling through the North Pacific coast with her friends Marielena and Clara. Marielena is obsessed with following the itinerary she made, but Sofia's irresponsibility and spontaneity force her to take new decisions. Meanwhile, Clara carries with the secret of a possible but doubtful pregnancy.",
Una isla en el continente,Juan Pablo Miquirray,0.0,"A trip along the 1,300 km long Peninsula of Baja California in Mexico, in which we discover a mythological and magical land, with its own time and Characters. In this film the past, the present and the future are interwined to create a beautiful and unique symphony of the nature, the history and people of the Baja.",Documentary
La lengua de la lluvia/Tu ́un savi,Uriel López España,0.0,"At the age of 15 I left my home in Ñuu Savi. I began my training and interest in learning the language my family speaks. Now that I return, my father has passed away; and with him his tongue.",Documentary
Detrás de la montaña,David R. Romay,7.0,"Miguel is a lonely boy letting his life pass by in a monotonous routine. He works in a public kiosk, takes care of his mother Consuelo and dreams with Carmela's love, one of his usual clients. One day, this perfect bubble of dissatisfaction pops when his mother dies. The tragic event, forces him to face his past and to make a radical decision: find the father that abandoned them, with the intention to kill him.",Drama
Donde nace la vida,Carlos Reygadas,,,
El actor principal,Paula Markovitch,5.0,"A young man from the suburbs of Iztapalapa in Mexico City is casted as the lead actor for a new film. When the film opens at the Berlinale, he is consterned about how European people views Latin American films just as a sort of misery porn.",Comedy
Clases de historia,Marcelino Islas Hernández,3.5,"Verónica, a middle-aged highschool history teacher, leads a non eventful life: she has grownup children, grandchildren and a less than perfect marriage. This dynamic seems to be the only thing she can hold on to, as she battles a terminal illness. As she reluctantly accepts her fate, she meets Eva, an irreverent and misunderstood new student who unknowingly injects some life and enthusiasm back into her and provides her with the tools to deal with her destiny.",
La mala noche,Gabriela Calvache,4.6,"A beautiful woman turns to prostitution. She must surrender her income to the leader of a human trafficking ring, but her daughter’s illness and a drug addiction prevent her from delivering her usual share.  An unexpected event will give her the opportunity to stop obeying and take justice into her own hands.",Drama
Ricochet,Rodrigo Fiallega,6.019,An attorney is terrorized by the criminal he put away years ago when he was a cop.,Crime
Vaquero del medio día,Alicia Cárdenas,,,
Hasta que la boda nos separe,Santiago Limón,6.685,"Marina is a woman in her thirties who works organizing weddings. Not because she is an inveterate romantic just because, as she says, ""when people are in love, they don't care about money"". Unlike her customers, she enjoys a life without ties or commitments, until the moment when she falls in love with Carlos. The problem is not only he is about to get married, but also his fiancee is Marina's childhood friend and they have hired her as their Wedding Planner.",Comedy
Los inquilinos,Iria Gómez Concheiro,0.0,"Mara moved to an old building trying to escape the memory of her mother's recent suicide. While trying to adjust to the new department, begins to see strange things: a ghostly presence seems to hover over the department. After a failed launch party interrupted by cranky downstairs neighbor, Mara knows the grim charge.",
Azul intenso,Roberto Hernández Ruiz,0.0,"In Macuspana, Tabasco, an old woman is kidnapped. Four men are arrested. When tortured they confess the crime. But then the authorities realize that the same kidnapping was already solved by federal police and that there are even people accused of that crime. Who are the real responsible?",
Los poetas del cielo,Emilio Maillé,,,
Daniela y Tania,Salomón Askenazi,4.6,A unique relationship between two women that transcends time and space.,Drama
"Tlalocan, bajo la ciudad de los dioses",Juan Roberto Mora Catlett  Carlos Rodrigo Montes,0.0,"Documentary about the Tlalocan, known to the Nahua people as the otherworldly paradise.",Documentary
Los hermanos Márquez Castillo,Mark Alazraki  Fernando Rovzar,7.359,A group of four siblings compete for the heritage of their father.,Comedy
Luciérnagas,Bani Khoshnoudi,5.696,"Ramin flees from persecution in Iran and ends up living in the limbo of exile, far from everything he knows, in the tropical port town of Veracruz, Mexico. There his nostalgia and melancholy are confronted with new friendships, while he starts to rediscover his own desires.",Drama
Malibú,Víctor Manuel Velázquez,5.8,Ernesto has found a peculiar way to meet people and earn a living: provoking car accidents.,Drama
Las niñas bien,Alejandra Márquez Abella,6.422,Sofía a well-to-do socialite and her husband must wrestle with the impact of Mexico's 1982 economic crisis.,Drama
Guachicolero,Edgar Nito,,,
Allá en el rancho,Rafael Montero,6.939,A spoiled girl is sent to her family's ranch to work during summer vacations.,Comedy
Loca por el trabajo,Luis Eduardo Reyes,7.7,"Alicia is a workaholic executive who suddenly loses her job and her family. In her process of rebuilding, she associates with a neighbor and helps her in her business. This is how she manages to be the most successful businesswoman in the country. During this process, she tries to reconquer her husband, only to realize that in order to return with him, she will have to learn to balance work and family life.",Comedy
Pájaros de verano,Ciro Guerra  Cristina Gallego,7.293,"During the marijuana bonanza, a violent decade that saw the origins of drug trafficking in Colombia, Rapayet and his indigenous family get involved in a war to control the business that ends up destroying their lives and their culture.",Drama
Asfixia,Kenya Márquez,7.2,"After getting out of jail, where she learned to care for the sick, Alma, an albino woman, is determined to recover at any cost something much more important than her own freedom. In order to do so, Alma must spend her nights taking care of Clemente, a hypochondriac compulsively obsessed with avoiding sudden death. Their relationship moves through suspicion, fear and compassion to tenderness and love.",Drama
La marca del demonio,Armando Casas,4.56,An exorcist priest meets a family that has a daughter who is pursued by a demon.,Horror
El ídolo,Erwin Neumaier,7.3,"This documentary chronicles Diomedes Díaz's rise as one of Colombia's most iconic singers, and his downfall after being accused of killing a fan.",Documentary
Compulsión,Batán Silva,4.8,"Sadie—a young female novelist—and an enigmatic woman named Francesca, are enticed by an ex-lover to join him at his Italian villa for a weekend celebration being held to honor the release of Sadie's latest book. Once there, Sadie begins to fear his true intentions as she and Francesca become embroiled in a dangerous game of moral and sexual discovery.",Thriller
Museo,Alonso Ruizpalacios,6.7,"Mexico, 1985. Juan and Wilson, two perennial Veterinary students, perpetrate an audacious heist in the National Museum of Anthropology, running away with a loot of more than hundred invaluable pieces of Mayan art, unaware of the consequences of their outrageous act.",Crime
Dibujando el cielo,Ana Laura Calderón Montiel,4.4,,Romance
El complot mongol,Sebastián del Amo,6.4,"1963, the Soviet Union intercepts a rumour that China pretends to assassinate the president of the US in his visit to Mexico. Filiberto Garcia, a local policeman, has 72 hours to investigate the Mongolian Conspiracy.",Crime
Bayoneta,Kyzza Terrazas,5.9,"Miguel “Bayoneta” Galíndez is a retired boxer from Tijuana who finds himself living in a cramped flat in Finland. As his future begins to look up, a desire for redemption draws him back into the ring.",Drama
La ruta de los caídos,Alejandro Springall,5.3,"1931, a year of nationalisms and excesses: The Chinese are expelled from Sonora; the US deports Mexicans and closes its borders. Twelve desperate people cross the Sonoran desert in a 1929 Chrysler, hoping to find peace in Baja California. As their sojourn exposes both the best and the worst of human nature, racism, greed, and paranoia prove as deadly as the merciless landscape around them.",Drama
Ni tú ni yo,Noé Santillán-López,6.1,"The Black Falcon is no longer in his glory years a wrestler since his brother left him. When his brother returns, this may be his last chance to fix both his professional and personal live.",Comedy
El pequeño gran hombre,Jorge Ramírez-Suárez,5.5,"A successful and somewhat vain lawyer loses her mobile phone and is contacted by a stranger who wants to give it back. Charming and interesting, their instant connection blossoms but everything changes when they meet and she discovers a tiny little detail about him: he's rather short.",Comedy
Souvenir,Armond Cohen,6.6,"The enigmatic Isabel decides to rent her belly to give birth to the baby of Sara and Joaquin, a possessive couple obsessed with the idea of starting a family.",Drama
Placa de acero,Abe Rosenberg,7.8,An honest cop teams with a corrupt one in order to stop a criminal band.,Comedy
Ni tú ni nadie,Gabriel Guzmán,3.6,"When washed-out, has-been actor Francisco, finds out that his ex-wife is about to remarry and take their daughter to live abroad, he'll manipulate everyone around him to stop the wedding and get his family back.",Comedy
Nahui,Gerardo Tort,0.0,"Through the eyes of eight filmmakers ""Nahui Ollin, Sun Of Motion"" explores several sites in Mexico to reveal how climate change has been advancing in one of the countries with the highest biodiversity globally. Corals, glaciers, seas, mangroves, rivers, mountains, fields and cities have witnessed the advancement of what may represent the greatest threat to human kind in this age. Through the voices of the inhabitants in different parts of the country, we will witness the adaptation as well as the mitigation that is carried out in their communities.",Documentary
 Si yo fuera tú,Alejandro Lubezki,7.0,"Claudia and Antonio have been married for 15 years. After so many years of marriage they have lost track of each other. One night, after a strong argument, the unusual alignment of the planets Venus, Earth and Mars causes a magical transformation: Antonio's soul is trapped in the body of Claudia and Claudia's in Antonio's body.",Comedy
 Más allá de la herencia,Alejandro González Padilla,6.7,"Beyond being two young women, Lolo and Gaby have nothing in common. However, they become involved in the dispute over a controversial! inheritance: a beautiful yacht. Esperanza, a small girl from a fishing village (Mahahual), becomes the bond uniting the two women, who together will face a common enemy: The Great Garbage Patch.",Drama
 Tod@s caen,Ariel Winograd,7.786,A pair of seducers try to prove who has the best techniques while trying not to fall in love with each other.,Comedy
"Emma, Dios y el fútbol",Julio Bárcenas,5.3,"Emma, an 8-year-old girl, gets hit on the head by a ball and has a revelation. In her search for meaning, she meets Andrés, a boy who loves soccer and isn’t happy at his new school. Through soccer, they will learn a lesson that will last a lifetime.",Drama
Cómprame un revólver,Julio Hernández Cordón,6.926,"In a timeless México where women are disappearing, a girl helps her dad, a tormented addict, to take care of an abandoned baseball camp where the narcos gather to play.",Drama
Los vientos de Santa Ana,Samuel Isamu Kishi Leopo,7.0,"Max and Leo are 8 and 5 years old and have just immigrated to the US with their mother. Their days pass inside a tiny apartment, while they wait for their mother to come back, as they hold on to the hope of traveling to Disney.",Drama
La camarista,Lila Deisse Avilés Solís  Juan Carlos Márquez Cervantes,6.272,"Eve, a young chambermaid at a luxurious Mexico City hotel, confronts the monotony of long workdays with quiet examinations of forgotten belongings and budding friendships that nourish her newfound and determined dream for a better life.",Drama
La perla de Marina,Daniela Elena Alatorre,0.0,Marina and Perla join thousands of women on an annual Catholic pilgrimage. Perla's coming of age accentuates a generational divide as she struggles to assert her independence as a woman.,Documentary
Cuando cierro los ojos,Michelle Enedina,0.0,"The isolation of Adela and Marcelino is common among many inmates processed without an interpreter in their native language before the Mexican justice system. Through their subjective experience, the dreams and memories they preserve of their lands in prison, they express in two voices the disorientation and the need to resist against exclusion by telling their story.",Documentary
"Cometa. Él, su perro y su mundo",Leonardo Arturo Domínguez,5.3,"Roberto Martínez (Armando Álvarez) loses his job, his home and his family; He has to spend a few nights on the street in what a reaction plan does. One of those days he meets a hairy friend with whom he will live new adventures until both recover everything they have lost.",Adventure
Gigantes descalzos,Álvaro Priante  Iván Roiz,6.2,"In the valleys of the Triqui region lives a group of indigenous kids that have been winning basketball championships all over the world occupying minutes in the TV news and becoming the hope for their people. It was after an unexpected meeting with the triqui children, when Professor Sergio felt the need of helping such a marginalized and forgotten society. After 4 years, he came back to the region as head coach and the ideologist of this development program.",
Cantadoras. Memorias de vida y muerte en Colombia,María Fernanda Carrillo Sánchez,10.0,"Five African Colombian women sing about the life and death of their peoples through traditional music and dirges. Tracing a musical journey, the singers show us how to respond to violence with art and creation.  Musical Memories Of Life And Death In Colombia  The word Cantadora comes from traditional Colombian music influenced by African roots and refers to the women that compose and sing their songs while going through their daily chores. ""Cantadoras"" provides a portrait of rural life in Colombia in its Caribbean and Pacific regions through the words and songs of the resilient Afro-Colombian singers that farm there. These resilient women speak of memories of violence at the hands of paramilitaries, and the power of song to build strength and give voice to dignity and creativity.",Documentary
Truenos de San Juan,Santiago Maza,7.0,The ancient carnival of a town is condemned by the Church and persecuted by the law due to the colossal amount of explosives blown up with sledgehammers during the festivity. Three men embody the distinct ways of celebrating the tradition.,Documentary
Giro climático,Antonio Isordia  Michelle Ibaven  Carlos Armella  Teresa Camou  Sergio Blanco  Roberto Olivares  Eleonora Isunza  Gustavo Martínez Ballesté,0.0,"Through the eyes of eight filmmakers ""Nahui Ollin, Sun Of Motion"" explores several sites in Mexico to reveal how climate change has been advancing in one of the countries with the highest biodiversity globally. Corals, glaciers, seas, mangroves, rivers, mountains, fields and cities have witnessed the advancement of what may represent the greatest threat to human kind in this age. Through the voices of the inhabitants in different parts of the country, we will witness the adaptation as well as the mitigation that is carried out in their communities.",Documentary
Regreso al origen,María José Glender de Mucha,0.0,"A 60-year-old man, still dreaming of paradise, shuts himself away from civilization in the mountains to try living self sufficiently and to see what secrets underlie solitude. Having trouble finding a truly uninhabited place Lalo has to keep dealing with human contact, which confronts his utopia. He begins to question the viability of his undertaking, and then to experience how he really feels when he is finally left alone for a long period of time.",Documentary
Hasta gritar gol,José Rubén Hernández Torres,0.0,"Jorge, Omar, Lalo and Moy love soccer, but being blind have kept them away from this sport until they meet and decide to make their own team and compete to be a part of the national team and play in the Rio 2016 Olympic Games.",Documentary
Rock Staff,Leonardo Orozco,0.0,"Leonardo Orozco, a rock band roadie known as Palomo, decided to document and interview his colleagues over the last 15 years in order to show what they do to stage a rock concert.",
Talacheros F.C.,Gabriel Villegas  Mariano V. Osnaya,0.0,"Every year, hundreds of mexican and foreign players, specially from Africa and South America, look for a contract with a team from the Main League of Mexican Soccer. Whoever is not successful, offers their talent to amateur teams while waiting for their next chance to jump to the Main League.",Documentary
El Tecolote,Jaime Rogel,0.0,"El Tecolote is a rural community where each year the celebration to Saint Isidore the Laborer links the local innhabitants with foreigners from the city, to ask for plenty rain.",
Los atardeceres rojos,Emilio Aguilar Pradal,5.5,The Red Sunsets is the quest of a couple that converges in politic exile and love to find the Mexico that exists now and the one that has vanished for us.,
La danza de las fieras,Miguel Ángel Fernández  Ana Díez  Rodrigo Ruíz Patterson  Gina Herrera,5.0,"Internet as a victim facilitator for sexual slavery underage hitmen, infant labor workers under inhuman conditions, dysfunctional shelters, collateral victims and distraught families are some of the topics engaged by The Wild Dance",
Jefe de jefes,Olallo Rubio,5.0,,
Los ofendidos,Marcela Zamora Chamorro,0.0,"When I turned 33 years-old, my mother told me that my father, during the Salvadorian Civil War, had been captured and tortured for 33 days by the National Police. Two years later I had the courage to ask him and other men and women about those days. These people do not ask for revenge, all that they ask is for the truth to be known.",Documentary
Día de visita,Nicole Opper,0.0,"Jose tries his best to adapt to his father's home, where he visits every other week.",Drama
Ruinas tu reino,Pablo Escoto,0.0,"A pilgrimage of fishermen ply the Gulf of Mexico under the sky of historic patina. Ruins your realm is a dual journey -land and sea, men and women, language and metalanguage- through hetero-topic spaces.",Documentary
Casa Roshell,Camila José Donoso,5.2,"You’d never know this is your home away from home. The surveillance camera outside shows a drab reception area and an unremarkable street in Mexico City; inside, the lights flash, but the tables are empty. Yet preparations are soon underway and fixed categories cease to apply: stubble is removed, make-up applied and strands of hair are teased into place; the camera is trained not on the men themselves, but what they see in the mirror.",Documentary
El carnaval de Oruro en Iztacalco,Sergio Sanjinés Franck,0.0,"A performance taken from the Bolivian Oruro Carnival takes place in Iztacalco, Mexico",
La tierra aún se mueve,Pablo Chavarría Gutiérrez,5.2,"The earth still moves, under the torsion of the serpent.",
Pólvora y gloria,Viktor Jakovlesk,5.0,"Tultepec, Mexico is known for just one thing: fireworks. The city manufactures more than half of all fireworks made in Mexico, a good percentage of which will be set off at the small town’s annual festival for San Juan de Dios.",Documentary
Amir,José Paredes,4.0,"Amir, a young musician meets a beautiful singer with whom he has a strong connection, but feels conflicted when, at the same time, his girlfriend tells him that she is pregnant.",Drama
Mujeres de manos cálidas,Adrián Macías Díaz,0.0,"Midwives from northern Mexico look for validation of their work, while health institutions try to block their labour. Many pregnant women come to them looking for their wisdom and enormous capacity to listen and guide mothers through pregnancy and childbirth.",
La posesión de Altaír. 1974,Víctor Dryere,5.54,"A newlywed couple disappeared in 1974, their 8mm tapes reveal one of the most horrifying events in Mexican history.",Mystery
Lucha México,Alex Hammond  Ian Markiewicz,6.5,"An exciting inside look at the stars of Lucha Libre, Mexico's distinctly colorful brand of professional wrestling, where flesh and blood Superheroes have performed for generations of fans. With unprecedented access to some of the top Luchadores in the world, LUCHA MEXICO goes behind the mysterious mask to explore one of the most cherished traditions of Mexican culture.",Documentary
Las Chuntá,Genevieve Roudané,0.0,"In a small town in Mexico, once a year, men transform into women and become the Chuntá. Follow two gangs of dancers as they race to prepare for the big night, but get caught in a debate about tradition and belonging.",
Paraíso perdido,Oliver Victoria,7.3,"Marked by losses and mismatches, José's eccentric family seek to be happy while locked in Paraíso Perdido, a nightclub that has stopped in time, where they sing popular romantic music.",Drama
Como te ves me vi,Germán Quintero,4.8,A family man remember his youth while he realizes his son starts behaving like him when he was younger.,Drama
Bombay,Javier Ávila,0.0,Armando is a young boy who spend his days between working at a storage and visiting his mother at a mental institution where she lives. After his last birthday solitude starts to bordering him deeply so he makes a new friend; Bombay.,
Omar & Gloria,Jimmy Cohen,0.0,"Omar & Gloria dance Danzon. Gloria who is 80 years old is a woman full of light. For over 15 years Omar has been her  accomplice and dancing partner. Omar and Gloria are mother and son. As part of their daily lives, they record themselves regularly. They capture every moment of their lives as amateur filmmakers, whilst also becoming their own audience. Omar relates to life through Gloria. She relates to the world through her video camera. Together, they both tell a unique life story told through music in dancing halls, their lived and recorded memories, and the traditional 11 steps set by every good Danzon.",
Rojo paraíso,Alberto Amador,0.0,"Miguel Auza, Zacatecas is a small town to the northeast of Mexico which has become a paradise for its lesbian, gay, bisexual and transexual community (LGBT); One can perceive an environment free of discrimination and full of total acceptance made known by it's habitants.",
La vida que elegimos,Rocke Killingan,4.8,"Sara loses his parents, which forces her to go to a corner of prostitution,where she meets Marcela, a transgender woman. When Marcela finds out that Sara is a virgin, she decides to protect her, knowing it will get her into trouble with her bosses if they find out.",Drama
Discolocos,David Dávila Herrera,10.0,The high energy movement in Mexico is visited without prejudice through its places and its protagonists. The icon Pascal Languirand is one of them.,
Anadina,Raúl Fuentes,5.3,"Just outside her apartment, Ana finds Dina, a naked, mysterious and confused young woman. Ana invites Dina in and calls a couple of persons so that they can meet her. Pamela and Raymundo, human traffickers, show up to negotiate the buying of Dina, who claims that she comes from the future and that she is actually on a mission to investigate how far human evil has grown in Mexico by the year 2015. The young woman provokes an unsolvable dispute between the traffickers, who end up dead.",Crime
Chasing Niagara,Rush Sturges,7.0,"When pro kayaker Rafa Ortiz makes the decision to paddle over Niagara Falls, he sets in motion an incredible series of events that eventually takes on a life of its own. To prepare for this mission, Rafa enlists the help of world-renowned paddler Rush Sturges and a tight team of their friends. Together they go on a remarkable three-year journey from the rainforest rivers of Mexico to the towering waterfalls of the U.S. Northwest. Their journey concludes in Canada where the team plays a cat-and-mouse game with local police before Rafa's mission comes to a heart-stopping climax at the iconic Falls.",Documentary
Rocío,Darío Guerrero,0.0,"When doting mother of three Rocio is suddenly diagnosed with terminal kidney cancer, her son Dario takes a leave of absence from Harvard College to come home and take care of her. Their battle against the disease leads them into the world of alternative medicine, where they find hope shimmering at a clinic across the border.",Documentary
Ayer maravilla fui,Gabriel Mariño,5.125,"The existence of a lonely figure in Mexico City is slipped uncontrollably throughout bodies every so often, making his essence travel through bodies of men and women. Boredom and hopelessness of this being are faced by the love for Luisa and the need to be with her. He starts a struggle to communicate that love via different faces and bodies until he may be with her in spite of his condition.",Drama
Cuadros en la oscuridad,Paula Markovitch,5.0,"Marcos is a 65 years old artist. He works in a gas station, depressed and annoyed with his life because he has never been able to exhibit his paintings. One day, Luis a young thief who's 13 years old, enters to his house thinking it was empty. Luis is the only one who knows about Marcos art. Suddenly, a kind of friendship starts between Luis and Marcos. And both begin to find new answers about life and art.",Drama
Despertar,Soley Bernal,0.0,,Horror
Volverá el polvo a la tierra,Alejandro Soltero,5.3,"After the death of his wife, Marno, an impulsive man prone to violent outbursts, plunges into a morbid quest to transplant the soul of her dead wife into the body of a younger woman.",
Fábulas de almas perdidas,Roberto Pacheco  Sinhué F. Benavides  Agustín Oso Tapia  Yuliana Barco  Jerónimo Barriga  Davek Carrizosa  Grecia Castellanos  A.J. Gómez,5.0,"Eight fables where consciousness, falsehood, nostalgia and fantasy are distributed into emotions and human sensations, exposing their souls before us.",
El pensamiento del arte,Arturo Sezmer  Lorenzo Lagrava,0.0,"Research and dissemination documentary-film about contemporary art in which more than 30 staff members of museums and galleries, visual and sound artists, collectors, art critics and curators share their knowledge and give an account of their experiences and anecdotes.",Documentary
Sinvivir,Anaïs Pareto Onghena,5.5,"Jairo feels that his privacy is invaded when Hugo, a longtime friend who is temporarily staying with him, brings home his suicidal cousin Moi. This forced cohabitation leads the characters to understand the sense—or nonsense—of life.",Drama
El autor,Manuel Martín Cuenca,6.202,"Álvaro, a man obsessed with the idea of writing what he brands as “high literature,” manipulates the lives and feelings of the people around him to write about the consequences caused by his devious acts.",Drama
Romina,Diego Cohen,2.705,A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.,Horror
Atrás hay relámpagos,Julio Hernández Cordón,5.0,"Hernandez had already made films in Guatemala and Mexico and this time found inspiring locations, unusual atmosphere and enthusiastic young people in Costa Rica. In this consciously unpolished film, the rebellious girls Sole and Ana open the trunk of a car in grandma’s garden and find something they’d rather immediately forget.",Drama
El dibujante (The Drawer Boy),Arturo Pérez Torres,,,
Cómplices,Luis Eduardo Reyes,5.5,"Max, a ruthless fifty-year-old hitman, discovers he has a problem: he now faints at the drop of blood. With his future in the profession in jeopardy, he's going to have to retrain... But not so simple when his only professional skill is to kill people... They are helped by a couple of young neighbors, Karim and Stéphanie, who do not imagine for a moment who they are dealing with... Max becomes attached, in spite of himself, to the young couple, until his past catches up with him.",Comedy
La cocina de Las Patronas,Javier García,0.0,,Documentary
Recuperando el paraíso,José Arteaga  Rafael Camacho,5.0,A look at the experience of an indigenous community in Michoacán who fought to reclaim their land from occupation by the Knights Templar drug cartel.,Documentary
Deseos,Flavio Florencio,5.3,"Snippets of a family drama involving a rebellious son coming to his depressing home village, his father, and a jaded ex-lover, mixed with various surrealist scenes and statements about sin.",Drama
FemDom Dominación femenina,Christian González,4.8,"Sael Farás takes advantage of his position as Mexican Ambassador in South Africa to smuggle diamonds. He also has a secret affaire with a dominatrix. When Sael suddenly dies, a detective is assigned to the case.",
Un mundo raro Canciones de José Alfredo Jiménez,Iván López-Barba  Rubén R. Bañuelos,6.0,A behind the scenes on how the homage album was recorded,
México bárbaro II,Abraham Sánchez  Carlos Meléndez  Christian Cueva  Diego Cohen  Fernando Urdapilleta  Lex Ortega  Michelle Garza  Ricardo Farías  Sergio Tello,6.263,"9  Mexican directors come together to narrate traditions and more brutal, ruthless and bizarre legends of our country.  Mexico Barbaro shows the world stories that are part of our popular culture, from sweet stories told by our grandmothers, the tooth fairy, witchcraft, the story behind the weeping woman, sexy Devil' servers, a pagan hero, the burnt woman, up to ancestral culinary bloody rites.  Traditions and legends that today continue to cause terror among Mexican people.  Included shorts:  **Paidós Phobos**  (Paidos Phobos)  **Potzonalli** (Potzonalli)  **Bolas De Fuego** (Fireballs)  **Exodoncia** (Exodontia)  **Vitriol** (Vitriol) **Dirección** **La Leyenda de Juan Soldado** (Juan the Soldier)  ""No Te Duermas"" (Do not sleep)  **Ya Es Hora** (It's About time).",Horror
Cinderello,Beto Gómez,7.5,"Marlon, an insecure and not-so-attractive photographer, is hit with a spell that every night transforms him into Brando, a handsome womanizer. Things will get harder when the spell becomes his biggest obstacle to obtain true love.",Comedy
Un año de miradas al azar,Roberto Sánchez Santos,0.0,"Born of observing and intuiting the everyday. Ephemeral, fortuitous encounters recorded daily throughout 2015, presented in 365 fragments of 12 seconds each, make up a journey of images and sounds that invite the audience’s complicity and participation.",
El brujo de Apizaco,Rodrigo Lebrija,0.0,"The stormy life of the Mexican bullfighter Rodolfo Rodríguez Gonzalez and his alter ego ""THE PANA"", of very humble origin, who worked as a baker, gravedigger, bundles loader, seller of gelatinas, before he became a bullfighter. A man to the conquest of his dreams and the glory that slips between his hands because of the bipolarity, the schizophrenia, the narcissism and his eternal addiction to the alcohol.",
Memorias de lo que nunca fue,Leopoldo Laborde,,,
El ombligo de Guie ́dani,Xavi Sala,6.0,"Guie’dani, a Zapotec indigenous girl and her mother take up work with an upper-class family in Mexico City. The girl does not fit and is conflicting. Everything changes when she meets Claudia, a rebellious girl with whom she becomes close friends.",Drama
Lejos del sentido,Olivia Luengas,5.5,"When they discover that something isn’t right in her head, Liliana and her family seek to understand her emotional instability and frequent hospitalizations after suicide attempts. Facing a possible relapse and unable to institutionalize her, since Liliana’s psychiatric hospital has closed, they resort to treatment at home.",Documentary
La era de la desconexión,Cristóbal González,0.0,This documentary seeks to move away from the noise of the city to enter the silence of the natural world and reconnect with the ties we have lost throughout the era of disconnection.,Documentary
La tercera raíz Buscando el origen del son jarocho,Allen Reed Rickert  Camilo Nu,,,
Mes nuits feront écho (Mis noches harán eco),Sophie Goyette,,,
La metamorfosis de Magdalena,Jorge Juvenal Arreola,0.0,"A group of female vampires terrorize the frontier town of Nogales, Sonora.",
Cine lotería,Eduardo Luis Argüelles,5.0,"A Mexican-American filmmaker living in the city of Los Angeles, and in search of his identity, decides to travel to Mexico City, where he senses that he will find the muse he needs as a key to finish his movie.",Comedy
El pez (Le poisson),Martin Verdet,6.2,"A plump and exuberant monk goes fishing, and a playful fish eludes him. First the monk uses a rod and reel, then a net; over and over, he ends up fish-less and wet. Sleepless, he tries luring the fish at night with a bank of candles. He tries a bow and arrow. The tireless and insouciant fish leads the monk through a viaduct, over irrigated steppes, across cisterns, down canals. Suddenly, the monk's chase and the fish's teasing flight become a spiritual journey.",Animation
MetaFilm,Jesús Rodríguez Chiva,5.0,"A Mexican couple out fronts different situations on their way to making a movie in Humboldt County. On their journey they question themselves about destiny, signals, independent filmmaking, will; and they represent their thoughts and learnings in musical and psychedelic sequences, dreams and spontaneous words and phrases that construct these wonders and seekings of their minds.",
Mirreyes contra Godínez,Chava Cartas,7.439,,Comedy
Réplica,Oliver Victoria  Axel M. Espino  Carlos Reygadas  Everardo González  Santiago Arriaga  Vanessa Vidal  Jacaranda Correa  Santiago Fábregas,1.167,"Suffering from kidney failure, Joe, a computer chip salesman goes through an organ transplant administered by Dr. Evelyn Tyler who is a biogeneticist for Therapeutic Technology located at 1 DNA Drive. Joe is not only grateful for his new kidney, but he becomes interested and obsessed in Dr. Tyler who shows him the world of miraculous, amazing and wonderful biotechnology. But this seemingly technological panacea is also filled with uncertainty, danger and dilemma that changes their lives forever.",Romance
Nunca lo tuvieron Una velada con Bukowski,Mateo Borgardt,7.0,"A long night spent drinking, smoking, and talking about sex, literature, childhood and humanity with irreverent writer poet Charles Bukowski in his California home in 1981. A story of video tapes lost, then found, and brought back to life.",
El Chapulín Colorado 3D,Roberto Gómez Fernández,6.0,"More agile than a turtle, stronger than a mice, nobler than a lettuce, his shield is a heart: this is the impossible story of how the Scarlet Grasshopper became the clumsiest and most amazing superhero of them all.",
Silencio,Lorena Villarreal,6.5,"In order to save her son's life, Ana embarks on a quest to find a powerful stone from the Zone of Silence in Mexico. Someone finds out the power the stone possesses and believes it is a power worth killing for.",Drama
Eres mi pasión/ El fútbol o yo,Anwar Safa,5.0,,Comedy
