Film,Director,urlmubi
Los idealistas,Marcelo Tobar,https://mubi.com/es/films/el-club-de-los-idealistas
Esto no es Berlín (Invisible),Hari Sama,https://mubi.com/es/films/this-is-not-berlin
En las buenas y en las malas,Gabriel Barragán Sentíes,https://mubi.com/es/films/en-las-buenas-y-en-las-malas
Santuario,Joshua Gil,https://mubi.com/es/films/santuario
Cindy La Regia,Catalina Aguilar Mastretta,https://mubi.com/es/films/cindy-la-rega
Héroes de Chapultepec,Mauricio Sariñana,
El gran salto,Jorge Porras,https://mubi.com/es/films/the-hudsucker-proxy
Chèche Lavi,Sam Ellison,https://mubi.com/es/films/looking-for-life
Doña Sabina Sombra,Oliver Victoria,https://mubi.com/es/films/maria-sabina-woman-of-the-spirit
Una leyenda punk,Inés Morales y Susana Quiroz,https://mubi.com/es/lists/punk-rock-movies
Huevitos en fuga,Gabriel Riva Palacio Alatriste y Rodolfo Riva Palacio Alatriste,https://mubi.com/es/films/fuga-2021
¿Y cómo es él?,Ariel Winograd,https://mubi.com/films/y-como-es-el
Cruz,Teresa Camou Guerrero,https://mubi.com/es/cast/ted-cruz
Dulce familia (Alitas),Nicolás López,https://mubi.com/es/specials/family
50 primeras citas / Como si fuera la primera vez,Mauricio Valle,https://mubi.com/es/films/50-first-dates
Corazón de mezquite,Ana Laura Calderón Montiel,https://mubi.com/es/films/mezquite-s-heart
México pelágico II (Mares de México),Jerónimo Prieto,https://mubi.com/es/lists/mexico--2
Cuestión de principios (Déjalo ir Let It Go),Marcos Almada,https://mubi.com/es/cast/roberto-fontanarrosa
El envoltorio sagrado,Julio Serrano Echeverría,https://mubi.com/es/films/the-sacred-spirit
Colozio,Artemio Narro,https://mubi.com/es/films/colozio
Sobre la estabilidad de los 3 cuerpos,Carlos Lenin,https://mubi.com/es/films/our-bodies-are-your-battlefields
La nave,Batán Silva,https://mubi.com/es/films/la-nave-2019
La cara oculta (Búnker),Jorge Michel Grau,https://mubi.com/es/films/the-hidden-face
No manches Frida 2,Nacho G. Velilla,https://mubi.com/es/films/no-manches-frida-2
¿Conoces a Tomás?,María Torres,https://mubi.com/es/films/this-is-tomas
Amores modernos,Matías Meyer,https://mubi.com/es/films/modern-loves
Chapita,Roberto Santis Hernández y Juan Julián Cruz Cruz,
La caja,Lorenzo Vigas,https://mubi.com/es/films/the-box-2021-lorenzo-vigas
Los trapos sucios se lavan en casa,Diego Muñoz,
Todas las pecas del mundo,Yibran Asuad,https://mubi.com/es/films/all-the-freckles-in-the-world
El emperador de Michoacán," ""James Ramey y Arturo Pimentel""",
Selva trágica," ""Yulene Olaizola y Rubén Ímaz""",https://mubi.com/es/films/selva-tragica
"Veinteañera, divorciada y fantástica",Noé Santillán-López,
Heredera del viento,Gloria Carrión Fonseca,https://mubi.com/es/films/inherit-the-wind
Sin miedo,Claudio Zulian,https://mubi.com/es/films/fearless
El mito en la oscuridad,Carlos Israel Ávila,https://mubi.com/es/lists/and-you-will-face-the-sea-of-darkness-my-50-favorite-horror-movies
Eliades Ochoa From Cuba to the World,Rubén Gómez y Cynthia Biestek,https://mubi.com/es/films/eliades-ochoa-from-cuba-to-the-world
Xotal,Lauri Saksa,https://mubi.com/es/cast/luc-moullet
 Nikté-Ha. Viaje al mundo del agua maya, Joy Penroz,
El secreto de la belleza. Pueblo en defensa de la tierra,Néstor A. Jiménez Díaz,https://mubi.com/es/films/mariner-of-the-mountains
 Dos Fridas Ishtar Yasin,,https://mubi.com/es/films/two-fridas
Tierra mía,Pedro González-Rubio,https://mubi.com/es/films/terra-mia-terra-nostra
 Pamparios, Florian Seufert,https://mubi.com/es/films/pamparios
Ya me voy (I'm Leaving Now),"Lindsey Cordero,Armando Croda Naveda",https://mubi.com/es/films/i-m-leaving-now
 Las noches invisibles, Alejandra Aragón,https://mubi.com/es/awards-and-festivals/cannes?year=2021
 Yo no soy guapo, Joyce García,https://mubi.com/es/films/i-am-not-handsome
Los débiles,"Raúl Rico González,Eduardo Giralt Brun",https://mubi.com/es/films/the-foxes-of-harrow
 Niebla de culpa, Francisco Laresgoiti,https://mubi.com/films/mist-of-guilt
Mi hermano,Alana Simões,https://mubi.com/es/films/mi-hermano
 Vatreni, Edson Ramírez,https://mubi.com/es/films/vatreni
Fausto,Andrea Bussmann,https://mubi.com/es/films/faust-2018
 La otra revolución, Mario Corona Payán,https://mubi.com/es/films/the-other-one-1946
Sangre nuestra,Adolfo López Campaña,https://mubi.com/es/films/sangre
" Tuya, mía... te la apuesto(Pena máxima)",Rodrigo Triana,https://mubi.com/es/films/tuya-mia-te-la-apuesto
El expediente Atlimeyaya,Hugo Vivar,
Como novio de pueblo (Primos),Joe Rendón,
Esta película la hice pensando en ti, Pepe Gutiérrez García,https://mubi.com/es/films/i-made-this-movie-thinking-of-you
Olimpia,José Manuel Cravioto,https://mubi.com/es/films/olimpia
Mano de metate," ""Eugenia Varela y Bruno Varela""",https://mubi.com/es/films/grindstone-hand
Rencor tatuado,Julián Hernández,https://mubi.com/es/films/tattoo-of-revenge
Sacúdete las penas, Andrés Ibáñez Díaz Infante,
Niños asesinos,Ricardo Tavera,https://mubi.com/es/films/murderous-children
La distancia, Ricardo A. Martínez,https://mubi.com/es/films/the-distance
Gracias por ser mi amigo,José Gerardo,https://mubi.com/es/films/where-is-the-friends-home
Mamacita, José Pablo Estrada Torrescano,https://mubi.com/es/films/mamacita
Piérdete entre los muertos, Rubén Gutiérrez,https://mubi.com/es/films/drown-among-the-dead
ONI,"Christine Minnick, Laura Trejo,Mercedes Aldao",https://mubi.com/es/films/oni
M-1, Luciano Pérez Savoy,https://mubi.com/es/films/m-1
Alejandra o la inocencia de Vlady,Fabiana Medina,
No se mata la verdad, Coizta Grecko B.,https://mubi.com/es
Perfectos desconocidos,Manolo Caro,https://mubi.com/es/films/perfect-strangers-2017
Cuatro Ciénegas, David Jaramillo,
Chivas. La película,"Iván López-Barba,Rubén R. Bañuelos",https://mubi.com/es/cast/chivas-devinck
Espejos de piedra," ""Ana Mary Ramos y Juan Barreda""",https://mubi.com/es/films/the-witchs-mirror
Titixe,Tania Hernández Velasco,https://mubi.com/es/films/titixe
Marc Monster & The Olives In Situ, Osiris Luciano,
Identidad puma,Pavel Inuit Arévalo,
Antígona, Pedro González-Rubio,https://mubi.com/es/films/antigone-2018
Patrimonio,"Lisa F. Jackson, Sarah Teale",https://mubi.com/films/patrimonio
M, Eva Villaseñor,https://mubi.com/es/films/m
El pueblo soy yo. Venezuela en populismo,Carlos Oteyza,https://mubi.com/es/films/i-am-the-people-venezuela-under-populism
Lo mejor que puedes hacer con tu vida (The Best Thing You Can Do With Your Life),Zita Erffa,https://mubi.com/es/films/the-best-thing-you-can-do-with-your-life
Cigüeñas,Heriberto Acosta,https://mubi.com/es/films/the-cranes-are-flying
Tiempo de lluvia, Itandehui Jansen,https://mubi.com/es/films/tiempo-de-lluvia
Desde tu infierno,Alexis Pérez Montero,https://mubi.com/es/films/desde-tu-infierno
Adam, Maria Solrun,https://mubi.com/es/films/adam-2019-maryam-touzani
La Revolución y los artistas,Gabriel Retes,
Balón al aire, Gabriel Mariño,https://mubi.com/es/films/ballon
Calypso. Los niños del éxodo,Wilma Gómez Luengo,
Canciones de amor y desprecio,Ana Bárcenas Torres,https://mubi.com/es/films/love-songs/ratings
La vida suspendida de Harley Prosper, Juan Manuel Sepúlveda,https://mubi.com/es/films/the-still-life-of-harley-prosper
Torre x torre (Torre),"Roberto Garza, Juan Luis Obregón",https://mubi.com/es/films/torre-x-torre
Enrique González Pedrero, Emilio Cárdenas Elorduy,
La daga en el corazón(Un couteau dans le coeur),Yann González,https://mubi.com/es/films/knife-heart
¿Dónde estás?,Maricarmen Merino,https://mubi.com/es/films/where-d-you-go-bernadette
La visita,Ana Mancera,https://mubi.com/es/films/the-visit-2015-m-night-shyamalan
Más sabe el diablo por viejo (Problemas mayores),Pepe Bojórquez,
Solteras,Luis Javier M. Henaine,https://mubi.com/es/films/solteras
Tramposos con suerte (Impostores), Joel Núñez,https://mubi.com/es/films/lets-do-it-again
Lo único que tengo,Diego L. Pedroza,https://mubi.com/es/about
Locura al aire," ""Alicia Cano y Leticia Cuba""",https://mubi.com/es/films/locura-al-aire
Las reglas del rey, Luis Romo ,
Nosotros las piedras, Álvaro Torres,https://mubi.com/films/nosotros-las-piedras
El velorio (The Wake), Gustavo Arteaga,https://mubi.com/es/films/the-wake-1969
Hipnosis para ser feliz,Víctor Audiffred,https://mubi.com/es/films/hypnois-to-be-happy
Belmonte, Federico Veiroj,https://mubi.com/es/films/belmonte-2018
La muerte de un fotógrafo de modas,Gabriel Reyes,https://mubi.com/es/films/the-death-of-a-fashion-photographer
Acusada (Dolores), Gonzalo Tobal,https://mubi.com/es/films/dolores-2018
Antes de que nos entierren a todos,Miguel Estrada,
Leona (Carne y leche), Isaac Cherem,https://mubi.com/es/films/leona
Water Lola,Miguel G. Catalán,
Cofradía, Emilio Ramón Vidal,https://mubi.com/es/specials/cult-films
El suicidio,Pedro Pablo de Antuñano Padilla,https://mubi.com/es/lists/suicide-62685a31-591c-424a-9088-35124bc87970
El año de la plaga, Carlos Martín Ferrera,https://mubi.com/films/the-year-of-the-plague
1985. Héroes entre ruinas,Jeanette Russ Moreno,
Land, Babak Jalali,https://mubi.com/es/films/land-2020
Me río. Colima,Iván Maracho Salcedo,
Mi mariachi, Jorge Adrián Espíndola,
Deriva,Andrei Maldonado,https://mubi.com/es/films/deriva
Disparos (Aprender a observar),Rodrigo Hernández y Elpidia Nikou,
Banda,Carlos Armella,https://mubi.com/es/films/love-beats
Está todo bien, Tuki Jencquel,https://mubi.com/es/films/it-s-all-good-2018
"Mujer. Se va la vida, compañera",Mariana X. Rivera,
Tritón, Arturo Villaseñor,https://mubi.com/es/films/triton
Un día de asalto,Diego Rúelas,https://mubi.com/es/films/the-assault-2010
Verte partir, Javi Huerta,
La voz del silencio,Jorge Uruchurtu,https://mubi.com/es/films/the-voice-of-silence
El Monstruo. Relato de tres sicarios,Luis Carlos Davis,https://mubi.com/es/films/sicario-2015
El camino desierto. Historia de una película independiente,Alex Herrera Castillo,
El corredor sin huellas,Sergio Gurrola,https://mubi.com/es/cast/john-matthews
Golpes duros,José Luis Palma,
Bendito mercado,César García,
La boda de mi mejor amigo,Celso García,https://mubi.com/es/films/la-boda-de-mi-mejor-amigo
Revueltas. La película,Antonio Jiménez,https://mubi.com/es/cast/jose-revueltas
Inocuo,Fernando Bourget,https://mubi.com/es/films/women-on-the-verge-of-a-nervous-breakdown/ratings?page=3
Crimen por omisión,Jaime Humberto Hermosillo ,https://mubi.com/es/films/crimen-por-omision
Diplodocus,Juan Pablo Rebollar,https://mubi.com/es/cast/john-randolph-bray
Murales viajeros por la paz La ecología y la equidad de Alejandro Quijano,Saudhi Batalla ,
La reina del porno show,Sergio Pérez ,https://mubi.com/es/lists/relevant-porn-films
Ayac nican nemizAquí nadie vivirá para siempre,Carlos Altamirano,https://mubi.com/es/films/nobody-knows-i-m-here
MegalodemócrataEl arte público de Rafael Lozano-Hemmer ,Benjamin Duffield ,https://mubi.com/es/films/megalodemocrat-the-public-art-of-rafael-lozano-hemmer/cast
Internet Junkie,Alexander Katzowicz ,https://mubi.com/es/films/web-junkie
Fuego adentro (En lo alto del día),Jesús Mario Lozano,https://mubi.com/es/showing
Luna 3 (Lunik 3),Víctor Zavala Kugler ,
La afinadora de árboles ,Natalia Smirnoff,https://mubi.com/es/films/la-afinadora-de-arboles
Días de invierno,Jaiziel Hernández Máynez ,https://mubi.com/es/films/dias-de-invierno
El deseo de Ana,Emilo Santoyo,https://mubi.com/es/films/ana-s-desire
Observar las aves,Andrea Martínez Crowther ,https://mubi.com/es/films/birdwatching-2019-andrea-martinez-crowther
No son horas de olvidar ,David Castañón,
Mi no lugar,Isis Ahumada Monroy ,https://mubi.com/es
Ráfagas serranas,Dalia Reyes,
Serpiente emplumada ,Ricky López Bruni,https://mubi.com/es/films/snake-in-the-eagles-shadow
Love Me Not,Lluís Miñarro,https://mubi.com/es/films/love-me-not-2017
La diosa del asfalto ,Julián Hernández,https://mubi.com/es/films/asphalt-goddess
Polvo,José María Yazpik ,https://mubi.com/es/films/dust-2012
Motel Acqua,Conrado Martínez ,
Siete Filos,Antonio Coello,
Divino amor,Gabriel Mascaro,https://mubi.com/es/films/divine-love
Frontera,Marcos Almada,https://mubi.com/es/films/frontera
#Mickey,Betzabé García ,https://mubi.com/es/cast/mickey
Después del incendio ,Sebastián Padilla ,https://mubi.com/es/films/incendies
Speedy,Rodolfo Castillo-Morales ,https://mubi.com/es/films/speedy
El paraíso de la serpiente ,Bernardo Arellano,https://mubi.com/es/films/serpent-s-paradise
Tío Yim,Luna Marán,https://mubi.com/es/films/uncle-yim
Un disfraz para Nicolás ,Eduardo Rivero Cruz ,https://mubi.com/es/films/a-costume-for-nicolas
Teléfono,Jerzain Ortega,https://mubi.com/es/contact
Claudia no se quiere morir,Adolfo López Campaña ,
Seré breve al momento de morir ,Juan Briseño,
Tomorrow,Frank Rodríguez,https://mubi.com/films/tomorrow-2015
¿Qué les pasó a las abejas?,"Robin Canul, Adriana Otero ",https://mubi.com/films/que-les-paso-a-las-abejas
La piel ajena,Arturo Castelán,
Marioneta (Vagoneros),Álvaro Curiel,https://mubi.com/es/films/marionette-2018
Un sentimiento honesto en el calabozo del olvido,Luis Bárcenas,https://mubi.com/es/films/un-sentimiento-honesto-en-el-calabozo-del-olvido
Un verano,Rodrigo Fiallega ,https://mubi.com/es/films/that-kind-of-summer
Un viaje en taxi, Mak CK,https://mubi.com/nl/films/viaje-en-taxi
uzi,Pepe Valle,https://mubi.com/es/films/uzi
Virgen de San Juan cuatro siglos de milagros, Noé González,
Voces de mixquic,Benito Núñez,
Volverte a Ver (antes Llueve), Carolina Corral,https://mubi.com/es/films/to-see-you-again
Y si fueras tú, Hugo Carrillo Brumbaugh,https://mubi.com/es/films/si-fueras-tu
yib,Ozan Mermer,
Yo necesito amor,Pepe Valle,https://mubi.com/films/i-need-love
Sanguinetti, Christian Díaz Pardo,https://mubi.com/es/films/sanguinetti
sanjuaneros,Michael Amici Y Daniel Kandell,https://mubi.com/es/films/san-junipero/cast
Santa Bárbara, Anaïs Pareto Onghena,https://mubi.com/es/films/santa-barbara
Se busca papá, Javier Colinas,
Se escuchan aullidos,Julio Hernández Cordón,https://mubi.com/es/films/se-escuchan-aullidos
Sendero, Aída Alonso,https://mubi.com/es/films/the-third-path
Será que volverás, Jorge Colón,https://mubi.com/es/films/volveras
Silence Radio, Juliana Fanjul,https://mubi.com/es/films/silence-radio-2019
Sin hijos,Roberto Fiesco,https://mubi.com/es/films/sin-hijos
Sin señas particulares,Fernanda Valadez,https://mubi.com/es/films/sin-senas-particulares
Sísifos, Nicolás Gutiérrez Wenhammar y Santiago Mohar Volkow ,https://mubi.com/es/films/sisyphus-2019-nicolas-gutierrez-wenhammar
Soledad, Guillermo A. Argüelles,https://mubi.com/es/films/soledad
Somos, Carlos Vázquez,https://mubi.com/es/films/somos
Sonriendo con el corazón (antes Con olor a Guanajuato), Alex Sánchez,https://mubi.com/es/films/eisenstein-in-guanajuato
Soren Juan, Carlos Valdivia,https://mubi.com/es/films/soren
Temporada de campo,Isabel Vaca,https://mubi.com/es/films/becoming-2021
Territorio, Andrés Clariond,https://mubi.com/es/films/the-territories
The Containment (La Contención), Jack Zagha,https://mubi.com/es/films/containment-2015
"Tigre de noche, arena de día", Miguel Icaza,https://mubi.com/es/films/the-hidden-tiger
Tijuana I Love you,René Bueno,
Todo,Frank Rodríguez,https://mubi.com/es/films/todo
Un México perro,Rafa Aparicio Y Andrés Klimek,https://mubi.com/es/lists/mexico--2
Un Retrato de familia,Adrián Zurita,https://mubi.com/es/films/ilo-ilo
No dejaré de buscarte,Bibiana Barba,
Noche de fuego,Tatiana Huezo,https://mubi.com/es/films/prayers-for-the-stolen
Nómadas, Emiliano Ruprah,https://mubi.com/es/films/nomads-2001
Nudo Mixteco, Ángeles Cruz,https://mubi.com/es/films/nudo-mixteco
"Oblatos, el vuelo que surcó la noche",Acelo Ruiz ,https://mubi.com/es/films/oblatos-epic-flight-into-the-night
Obscuro Despertar, Carlos Preciado Cid,
Oliverio y la Piscina, Arcadi Palerm,https://mubi.com/es/films/oliver-the-pool
Paper Boats, Yago Muñoz,https://mubi.com/es/films/paper-boats
Para No volver, Janette A. López,https://mubi.com/es/films/volver
Patitos Feos, Mauricio Chernovetzky,https://mubi.com/es/films/the-ugly-duckling-and-me
Patria, Matías Gueilburt,https://mubi.com/es/films/patria-2020
Perdida (antes Bunker), Jorge Michel Grau,https://mubi.com/es/films/bunker-2021
Poder Mayor Poder Menor, José Celestino Campusano,https://mubi.com/es
Poderoso Victoria, Raúl Ramón,https://mubi.com/es/films/the-mighty-victoria
Príncipe de paz,Clemente Castor,https://mubi.com/es/films/prince-of-peace-2019
Quiere Jugar, Adrián García Bogliano,https://mubi.com/es/specials/john-smith
"Rapsodia, laberintos del yo", Antonio del Rivero Herrera,
"Rebeldía, grita el grano en el surco al agrietar la tierra para recibir los rayos del sol", Pablo Ramos,
Rebelión de los Godínez, Carlos Morett,https://mubi.com/es/films/mutiny-of-the-worker-bees
Red Privada, Manuel Alcalá,https://mubi.com/es/films/red-privada-quien-mato-a-manuel-buendia
Sabina Sombra, Oliver Victoria,https://mubi.com/es/films/maria-sabina-woman-of-the-spirit
Los vecinos,Diana Cardozo,https://mubi.com/es/films/over-the-hedge
"Malintzin, la historia de un enigma", Fernando González Sitges,https://mubi.com/es/films/malintzin-the-story-of-an-enigma
Mamá se fue de viaje,Fernando Sariñana,
Más allá del agua,Julio Quezada Orozco,https://mubi.com/es/films/the-water-2022
Más que mil palabras,Gerardo Gatica,https://mubi.com/films/in-the-mood-for-love/ratings?page=9
Me casé con un idiota,Batán Silva,
Memoria, Apichatpong Weerasethakul,https://mubi.com/es/films/memoria-2021
Mentores, Jorge Díaz Sánchez,https://mubi.com/es/films/mentor
MexZombies, Chava Cartas,https://mubi.com/es/films/mexzombies/ratings
Mírame, Pavel Cantú,https://mubi.com/es/films/mirame
"Monarca, el espíritu del bosque Un viaje de ida y vuelta",Roberto López Fanny Miranda Y Miguel Galarza ,https://mubi.com/es/films/monarca
Muerte al verano,Sebastián Padilla,https://mubi.com/es/films/muerte-al-verano
Mujer Rarámuri Regresa a Casa, Santiago Esteinou,https://mubi.com/es/films/a-girl-walks-home-alone-at-night
Mujeres del alba,Jimena Montemayor,https://mubi.com/es/films/alba-2016
Negra Medhin, Tewolde Serrano,https://mubi.com/es/films/negra
Nelly, Marco E Goya,https://mubi.com/es/films/nelly-2016
Nerea Juan, Pablo Cortés,https://mubi.com/es/films/nerea
Ni contigo ni con nadie,Esteban Pérez Ghersi,
Ni en la más oscura de mis tardes,Venancio Villalobos ,
"Ni tuyo, Ni mía", Sandra Solares,https://mubi.com/es/films/ni-tuyo-ni-mia
Nido de Mantis, Arturo Sotto Díaz,https://mubi.com/es/films/nido-de-mantis
Niña sola, Javier Ávila,https://mubi.com/es/films/a-girl-alone
No Abras La puerta,Humberto Hinojosa,https://mubi.com/es/films/no-abras-nunca-esa-puerta
La nebulosa de Emiliano, Cristina Soto,
La Pequeña Haití, Carlos Hernández Vázquez,https://mubi.com/es/films/haiti
La Revo Sing A Song Of Love, José Leos,https://mubi.com/es/films/la-revo-sing-a-song-of-love
La semilla invisible, Andrés Kaiser,https://mubi.com/es/films/invisible-demons
La sombra del desierto (o El paraíso recobrado), Juan Manuel Sepúlveda ,https://mubi.com/es/films/the-shadow-of-the-desert-or-paradise-lost
La venganza de Jairo, Simon Hernandez,https://mubi.com/es/films/jairo-s-revenge
La Venganza de Mascarita (antes Matando Cabos 2), Alejandro Lozano ,https://mubi.com/es/films/killing-cabos/cast
La vida de Rafael, Valentina Wiens,https://mubi.com/es/cast/rafael
La vida oculta de la artesanía, Pablo Márquez,
La Vocera, Luciana Kaplan,https://mubi.com/es/films/the-spokeswoman
La voz del silencio, Jorge Uruchurtu,https://mubi.com/es/films/the-voice-of-silence
Las flores de la noche, Eduardo Esquivel y Omar Robles,https://mubi.com/es/films/the-night-flowers
Las Leyendas: El Origen, Ricardo Arnaiz,
Las ninfas del celuloide, Tabatta Salinas y Andrea Gautier,https://mubi.com/es/films/ninfas-diabolicas
Las Sanadoras, Rodrigo Occelli,https://mubi.com/es/films/the-healers
Las Últimas Plumas, Alejandro Alatorre,https://mubi.com/es/films/all-about-the-feathers
Lecciones para canallas, Gustavo Moheno,
Lo que algunos soñaron, Michel Franco,https://mubi.com/es
Locas por el Cambio, Ihtzi Hurtado,
Loco fin de semana, Kristoff Raczynski,
Loco por ti (antes Las píldoras de mi novio), Diego Kaplan,https://mubi.com/es/films/my-boyfriend-s-meds
Los días francos, Ulises Pérez Mancilla,https://mubi.com/es/cast/michel-franco
Los días particulares, Chucho E. Quintero,https://mubi.com/es/films/these-peculiar-days
Hasta que la suerte nos separe, Gerardo Morán,https://mubi.com/es/films/til-madness-do-us-part
Hueso de Corvina, Abel Amador Alcalá,
Identidad tomada, Gabriel Retes,https://mubi.com/films/identidad-tomada
Imaginando la oscuridad, Roque Azcuaga,https://mubi.com/es/films/a-scanner-darkly
Inevitable, Manuel Villaseñor,https://mubi.com/es/films/inevitable
Infección, Flavio Pedota,https://mubi.com/es/films/infection-2019
Infelices por siempre, Noé Santillán-López,
Instrucciones para Su, José Ramón Chávez,https://mubi.com/es/memberships
Insular, Federico Adorno,https://mubi.com/films/insular-sights
Jericajazz Jazz en tierra mojada, Jorge Bidault ,https://mubi.com/es/films/jericajazz-jazz-from-wetland
Juzga, Hari Sinn,https://mubi.com/es/films/high-crime
La asfixia, Ana Isabel Bustamante,https://mubi.com/es/films/la-asfixia
La candidata, Emil Guevara Malavé y Ronald Rivas Casallas,https://mubi.com/es/films/the-perfect-candidate
La casa del jabonero, Alonso Ruizpalacios,https://mubi.com/es/films/the-house-that-jack-built-2017
La compañía que guardas, Diego Gutiérrez,https://mubi.com/es/films/the-company-you-keep-2017
La cuenca de los ríos de piedra, Pablo Benjamín Nieto Mercado,
La esquinita de México, Leonor Maldonado,https://mubi.com/es/lists/mexico--2
La fiera y la fiesta, Laura Amelia Guzmán e Israel Cárdenas,https://mubi.com/es/films/holy-beasts
La Frontera Invisible, Mariana Flores Villalba,https://mubi.com/films/the-invisible-frontier
La invención del mar, Adrián Ortíz,https://mubi.com/es/showing
La liga de los 5, Marvick Núñez,https://mubi.com/es/films/la-liga-de-los-5
La línea que divide, César Alejandro,https://mubi.com/films/la-linea-dell-orizzonte
La Mami, Laura Herrero Garvín,https://mubi.com/es/films/la-mami
El mundo secreto de Marina, Sonia Fritz,
El otro Tom, Rodrigo Plá,https://mubi.com/es/films/the-other-tom
El poder de la mirada, José Ramón Mikelajáuregui,https://mubi.com/es/films/glancing-at-power
El Rey de la Fiesta, Salomón Askenazi,https://mubi.com/es/films/the-king-of-the-party
El rey de todo el mundo, Carlos Saura,https://mubi.com/es/films/the-king-of-the-whole-world
El sueño de Hikuri Abraham, Torres Valadez,
El Testamento de la Abuela, Javier Colinas,
El último Tlatoani, Pablo Jato,https://mubi.com/lists/mexico--2
El vestido de la novia, Roque Falabella,https://mubi.com/es/films/the-wedding-dress
Yermo (antes El Vientre Yermo), Everardo González,https://mubi.com/films/wilderness-2020
Ermitaños, Daniela Uribe,https://mubi.com/es/cast/tad-ermitano
Escorpio, Julian Noble,https://mubi.com/es/films/the-curse-of-the-jade-scorpion
Estado del imperio, Amat Escalante,https://mubi.com/es/films/the-event-2015
Estamos hechos, Herbey Eguiarte,https://mubi.com/es/specials/love-triangle
Familia de medianoche, Luke Lorentzen,https://mubi.com/es/films/midnights-children
FBI Franciscos Banda Internacional, Gustavo Gamou ,https://mubi.com/es/films/fbi-francesco-bertolazzi-investigatore
Fin amor, Raúl Quintanilla,https://mubi.com/es/films/amor-en-fin
Forgiveness, Alex Kahuam,https://mubi.com/es/films/forgiveness-2020
Fractal, Mariana González,https://mubi.com/es/films/fractal
Frontera sur, Raúl O. Paz Pastrana,https://mubi.com/es/films/frontera-al-sur
Guadalupe Reyes, Salvador Espinosa,
Guía para el viajero que no quiere preguntar, Mariana Chenillo,https://mubi.com/es/films/the-hitchhikers-guide-to-the-galaxy
Guiexhuba, Sabrina Muhate,https://mubi.com/es/films/guiexhuba
Dioses de México, Giorgio Blasi,https://mubi.com/es/films/gods-of-mexico
Doblemente embarazada, Koko Stambuk,
Domingo, Raúl López,https://mubi.com/es/films/domingo-2020
Donde corre el agua, Juan Carlos Blanco,https://mubi.com/es/films/the-water-2022
Donde los pájaros van a morir, Analeine Cal y Mayor,
Dos veces tú, Salomón Askenazi,https://mubi.com/es/films/two-times-you
Efímera (antes Efemeróptera), Luis Mariano García Villanueva,
El amarre, Tamae Garateguy,https://mubi.com/es/films/el-amarre
El baile de los 41, David Pablos,https://mubi.com/es/films/dance-of-the-41
El camino de Sol, Claudia Sainte-Luce,https://mubi.com/es/cast/claudia-sainte-luce
El Corazón de Bolívar, Leonel González,https://mubi.com/es/lists/cine-colombiano-la-historia-sin-fin
El día uno, Antonio Yglesias y Juan Manuel Fernández,
El diablo entre las piernas, Arturo Ripstein,https://mubi.com/es/films/devil-between-the-legs
El diablo me dijo qué hacer, Alejandro G. Alegre,
El diario de Karem, Henry Bedwell,
El Eclipse, Julián Robles,https://mubi.com/es/films/leclisse
El futuro, Kevin Guzmán Linares,https://mubi.com/es/films/el-futuro
El Gallinero, Fabián Ibarra,https://mubi.com/es/films/el-gallinero
El gran acuífero maya, Víctor Mariña,
El Gran Salto, Jorge Porras,https://mubi.com/es/films/the-hudsucker-proxy
El hoyo en la cerca, Joaquín del Paso,https://mubi.com/es/films/el-hoyo-en-la-cerca
El lugar de las tres cascadas. Pequeñas historias de Hiroshima, Mauricio Novelo,https://mubi.com/es/films/the-place-of-the-three-waterfalls-little-stories-of-hiroshima
El Mesero, Raúl Martínez,
 7.1,Guénola Bally Layolle,https://mubi.com/es/notebook/posts/harvard-at-the-gulbenkian-cinema-dialogues-7-1
 1938,Sergio Olhovich,https://mubi.com/es/lists/mubi-s-top-50-films-of-1938
 1991,Sergio Ramírez,https://mubi.com/es/lists/mubi-s-top-50-films-of-1991
 ¡Ánimo Juventud!,Carlos Armella,
 ¡Córtalas!,María Ripoll,https://mubi.com/es/specials/short-films
 ¿Quieres ser mi rehén?,Alex Sánchez y Carlos Preciado Cid,
 45 días en Jarbar,César Aréchiga,https://mubi.com/es/films/45-days-in-harbar
 499 (antes 499 años),Rodrigo Reyes,https://mubi.com/es/films/-499
 A cargo de Antonia,Iverint López y Daniela Gandarillas,https://mubi.com/es/films/antonias-line
The Gigantes (antes A dónde fue el verano),Beatriz Sanchís,https://mubi.com/es/films/the-gigantes
A tontas y a locas,Alberto Espino,https://mubi.com/es/films/what-a-drag
A Tres Caídas,Eduardo Martínez,
Alex Winter,César Demian,https://mubi.com/es/cast/alex-winter
Amalgama,Carlos Cuarón,https://mubi.com/es/films/amalgama
Amor Mutante,Germán Rodríguez Quiñones,https://mubi.com/es/cast/bibi-andersen
Anayeli,Misael Alva Alva,https://mubi.com/es/cast/nanyeli
Animales Humanos,Lex Ortega,https://mubi.com/es/films/animal-humano
"Apapacho, una caricia al alma",Marquise Lepage,https://mubi.com/es/films/apapacho
Armas Blancas,Mariana Musalem,https://mubi.com/films/shiny-weapons
At'Anii'-Tu Amante,Antonino Isordia,https://mubi.com/es/films/at-anii
Aversión,Rafael Piñero,https://mubi.com/es/films/aversion
